filename,language,text,duration
62.txt,cs,"Věř mi, za pár měsíců už nikdo nebude mluvit o Ježíši, kterého přibili na kříž v Jeruzalémě.",0
63.txt,cs,"Dokonce říkají, že vstal z hrobu",0
64.txt,cs,"třetího dne.",0
65.txt,cs,"To je ale pohádka",0
66.txt,cs,"Brzy už nikdo nebude mluvit o jeho učení.",0
67.txt,cs,"Postarám se o to!",0
68.txt,cs,"Ukamenuj ho!",0
69.txt,cs,"Pane Ježíši, přijmi mého ducha.",0
70.txt,cs,"Ukamenuj ho!",0
71.txt,cs,"Pane, neměj proti nim tento hřích.",0
72.txt,cs,"Ukamenuj ho!",0
73.txt,cs,"Co říkal?",0
74.txt,cs,"Pane, neměj proti nim tento hřích, kdybych to slyšel.",0
75.txt,cs,"To je rouhání!",0
76.txt,cs,"Saule, jdeme!",0
77.txt,cs,"Nepleť se do toho.",0
78.txt,cs,"Máme před sebou dlouhou cestu.",0
79.txt,cs,"Jen si vezmi mého koně s sebou.",0
80.txt,cs,"I",0
81.txt,cs,"Ale Saule",0
82.txt,cs,"Znám cestu!",0
83.txt,cs,"Saule, je to ještě dlouhá cesta.",0
84.txt,cs,"Tak do toho!",0
85.txt,cs,"Nepřikládej jim tento hřích.",0
86.txt,cs,"Pane, neměj proti nim tento hřích.",0
87.txt,cs,"Co jsem to udělal?",0
88.txt,cs,"Odsoudil jsem mladého muže a oni ho ukamenovali.",0
89.txt,cs,"Proč?",0
90.txt,cs,"Zabil jsem",0
91.txt,cs,"Jsem vrah",0
92.txt,cs,"Ne, to nechci",0
93.txt,cs,"To nejsem já.",0
94.txt,cs,"Saule, Saule!",0
95.txt,cs,"Saule, Saule!",0
96.txt,cs,"Kdo je tam?",0
97.txt,cs,"Nevidím",0
98.txt,cs,"Saule!",0
99.txt,cs,"Saule! Proč mě pronásleduješ?",0
100.txt,cs,"Pronásleduješ mě..",0
101.txt,cs,"Pronásleduješ mě",0
102.txt,cs,"Kdo jste?",0
103.txt,cs,"Já jsem Ježíš.",0
104.txt,cs,"Tu, kterou neuznáváš.",0
105.txt,cs,"Přejděte a následujte mě.",0
106.txt,cs,"Za mnou!",0
107.txt,cs,"Za mnou!",0
108.txt,cs,"Jak?",0
109.txt,cs,"Co mám dělat?",0
110.txt,cs,"Neznám tě.",0
111.txt,cs,"Vstaňte a jeďte do města.",0
112.txt,cs,"Zavolej si. Od teď Paul.",0
113.txt,cs,"Hledejte lidi, kteří mě znají.",0
114.txt,cs,"Za mnou!",0
115.txt,cs,"Za mnou!",0
116.txt,cs,"Chlape, co se ti stalo?",0
117.txt,cs,"Kdo je tam?",0
118.txt,cs,"Jsem slepý a nevidím.",0
119.txt,cs,"Nech mě být!",0
120.txt,cs,"Neboj se mě!",0
121.txt,cs,"Mluv, co se stalo?",0
122.txt,cs,"Nikdo mi neuvěří!",0
123.txt,cs,"Neuvěří, co se mi právě stalo.",0
124.txt,cs,"Jsem vrah.",0
125.txt,cs,"Pane, neměj proti nim tento hřích.",0
126.txt,cs,"To je to, co mladý muž volal směrem k nebi",0
127.txt,cs,"A odsoudil jsem ho k smrti.",0
128.txt,cs,"Řekl jsem. Ukamenuj ho!",0
129.txt,cs,"Slyšel jsem hlas, jak říká. Já jsem Ježíš. Přejděte a následujte mě.",0
130.txt,cs,"Neznám ho.",0
131.txt,cs,"Kdo je ten Ježíš?",0
132.txt,cs,"Jsem vrah",0
133.txt,cs,"Vrah",0
134.txt,cs,"Miluje tě.",0
135.txt,cs,"Poslal mě sem, abych ti pomohl.",0
136.txt,cs,"Jak se jmenuješ?",0
137.txt,cs,"Jmenuji se Sau Paul.",0
138.txt,cs,"Paule, pojď se mnou.",0
139.txt,cs,"Ananiasi!",0
140.txt,cs,"Mír s tebou.",0
141.txt,cs,"Neboj se!",0
142.txt,cs,"Přivedl jsem nového přítele.",0
143.txt,cs,"Zbláznil ses, že jsi sem přivedl cizince?",0
144.txt,cs,"Víte, že nás pronásledují a toto setkání je tajné.",0
145.txt,cs,"Kdo je to, Ananiasi?",0
146.txt,cs,"Neboj se.",0
147.txt,cs,"On je opravdu přítel.",0
148.txt,cs,"Paule.",0
149.txt,cs,"Já jsem Paul.",0
150.txt,cs,"Ano, a?",0
151.txt,cs,"Řekl mi, že se Ježíš zjevil a mluvil s ním.",0
152.txt,cs,"Ježíši, náš pane?",0
153.txt,cs,"Tomu nevěřím.",0
154.txt,cs,"Ale já ano.",0
155.txt,cs,"Náš Pán mě k němu poslal.",0
156.txt,cs,"Pomohla jsem Paulovi.",0
157.txt,cs,"Mír s tebou!",0
158.txt,cs,"Ananias mi hodně pomohl.",0
159.txt,cs,"Byl jsem slepý a Ježíš se mnou mluvil, řekl mi, abych se změnil, konvertoval a následoval ho.",0
160.txt,cs,"Za mnou!",0
161.txt,cs,"Za mnou!",0
162.txt,cs,"Za mnou!",0
163.txt,cs,"Neznám ho.",0
164.txt,cs,"Nevím, jak ho sledovat.",0
165.txt,cs,"Tehdy jsem se sám sebe ptal na to samé.",0
166.txt,cs,"Ale neboj se.",0
167.txt,cs,"Povede tě.",0
168.txt,cs,"Učil. Miluj ostatní stejně jako sebe.",0
169.txt,cs,"Všechno, co chceš, aby ti udělali, dělej na ostatních.",0
170.txt,cs,"Ukřižovali ho",0
171.txt,cs,"Vstal z hrobu a překonal smrt.",0
172.txt,cs,"Byl to člověk.",0
173.txt,cs,"Nebeský Pán ho poslal do Jeruzaléma.",0
174.txt,cs,"Pomalu, ale jistě ty kousky padají na místo.",0
175.txt,cs,"Jeho učení jsou jeho přednášky",0
176.txt,cs,"jeho skutky",0
177.txt,cs,"jeho symboly",0
178.txt,cs,"jeho zázraky.",0
179.txt,cs,"Nerozumím tomu.",0
180.txt,cs,"Jaké skutky?",0
181.txt,cs,"Jaké symboly?",0
182.txt,cs,"Jaké zázraky?",0
183.txt,cs,"Promiň.",0
184.txt,cs,"Prosím, posaďte se.",0
185.txt,cs,"Povím ti o svatbě v Cana.",0
186.txt,cs,"Hej banket!",0
187.txt,cs,"Pojďme tančit, banket, pojď!",0
188.txt,cs,"Ježíši, pojď!",0
189.txt,cs,"Pojď, je tu tak hezky!",0
190.txt,cs,"Pojďme tančit!",0
191.txt,cs,"Magdaleno, vezmi ho s sebou! Jidáš taky!",0
192.txt,cs,"Ježíši, pojď!",0
193.txt,cs,"Pojď!",0
194.txt,cs,"Zvládne to?",0
195.txt,cs,"Každé dítě to dokáže, Petere.",0
196.txt,cs,"Ježíši, pojď!",0
197.txt,cs,"To, co tu děláme, není správné, Johne!",0
198.txt,cs,"Andrew, věř mu a buď trpělivý.",0
199.txt,cs,"Andrew, když nevěříš v mého syna, proč ho sleduješ?",0
200.txt,cs,"Naši lidé byli zotročeni.",0
201.txt,cs,"Římští vládci zavraždili naše vůdce.",0
202.txt,cs,"A co dělá?",0
203.txt,cs,"Chová se a prochází časem, tančí a raduje se.",0
204.txt,cs,"Tancuj a raduj se!",0
205.txt,cs,"Je to člověk.",0
206.txt,cs,"Narodil se jako člověk jako ty a já.",0
207.txt,cs,"Ano, všiml jsem si.",0
208.txt,cs,"Ale to mě děsí nejvíc.",0
209.txt,cs,"Jsme obyčejní rybáři.",0
210.txt,cs,"Se sítěmi plujeme přes moře.",0
211.txt,cs,"Naši bratři a přátelé bojují sami s těžkými sítěmi",0
212.txt,cs,"a měli bychom být s nimi",0
213.txt,cs,"Ne, Andrew.",0
214.txt,cs,"Hledáme odpovědi a našli jsme ho.",0
215.txt,cs,"Měl bys ho sledovat.",0
216.txt,cs,"Neustále.",0
217.txt,cs,"Měli bychom?",0
218.txt,cs,"Ano, protože si vybral tebe.",0
219.txt,cs,"Je tu opravdu hezky.",0
220.txt,cs,"Všechna ta radost a komunita.",0
221.txt,cs,"Ale teď mám žízeň.",0
222.txt,cs,"Počkej, můj synu.",0
223.txt,cs,"Přinesu ti džbán vína.",0
224.txt,cs,"Co se stalo, Andrew?",0
225.txt,cs,"Netancuješ",0
226.txt,cs,"Necítím se na to.",0
227.txt,cs,"Až budou Izraelci zachráněni a spravedlnost zvítězí nad nespravedlností, budu se radovat a tančit věčně.",0
228.txt,cs,"Na ten tanec budeme dlouho čekat.",0
229.txt,cs,"Nebo se toho nedožijeme.",0
230.txt,cs,"Jan Křtitel nám řekl, že jsme na tebe čekali.",0
231.txt,cs,"Náš Mesiáš a Spasitel Izraele.",0
232.txt,cs,"A co děláš ty?",0
233.txt,cs,"Hostíte, pijete a tančíte.",0
234.txt,cs,"Andrew.",0
235.txt,cs,"Uklidni se!",0
236.txt,cs,"Ježíši, jsi opravdu dlouho očekávaný Spasitel?",0
237.txt,cs,"Jsi!",0
238.txt,cs,"Jsi!",0
239.txt,cs,"To jsi",0
240.txt,cs,"Svatební hosté už nemají víno!",0
241.txt,cs,"Andrew, odpusť mi, jestli jsem tě zklamal nebo ublížil, je mi to líto.",0
242.txt,cs,"Já jen..",0
243.txt,cs,"Ježíši!",0
244.txt,cs,"Ano, matko?",0
245.txt,cs,"Už nemají víno.",0
246.txt,cs,"Slyšel jsem to.",0
247.txt,cs,"Co s tím mám společného?",0
248.txt,cs,"Možná bys mohl?",0
249.txt,cs,"Ženská, proč do toho zatahuješ mě?",0
250.txt,cs,"Moje hodina ještě nepřišla.",0
251.txt,cs,"Už to přišlo.",0
252.txt,cs,"Je čas ukázat Andrewovi, Johnovi a všem.",0
253.txt,cs,"Nemáme víno!",0
254.txt,cs,"Ježíš ti pomůže!",0
255.txt,cs,"Dělej, co ti řekne.",0
256.txt,cs,"Naplňte sklenice vodou.",0
257.txt,cs,"Teď nakreslete nějaké a odneste je Vládci Bankety.",0
258.txt,cs,"Andrew, pij!",0
259.txt,cs,"Andrew, Johne, To je on.",0
260.txt,cs,"Nepochybuj o něm, následuj ho.",0
261.txt,cs,"Pojďme tančit, banket, pojď!",0
262.txt,cs,"Co je to?",0
263.txt,cs,"Kde je ženich?",0
264.txt,cs,"Kde je ženich?",0
265.txt,cs,"Každý přináší výběr vína první a pak levnější víno poté, co hosté měli příliš mnoho pít, ale vy jste ušetřili to nejlepší až do teď.",0
266.txt,cs,"Já ne.",0
267.txt,cs,"Proč bych to měl dělat?",0
268.txt,cs,"Zkus to a řekni mi, co ochutnáš.",0
269.txt,cs,"To není možné.",0
270.txt,cs,"To víno neznám.",0
271.txt,cs,"Přesto je to skvělé.",0
272.txt,cs,"Kdo to přinesl?",0
273.txt,cs,"Je tam šest velkých sklenic.",0
274.txt,cs,"Kde jsi vzal to množství vína?",0
275.txt,cs,"Na příkaz Ježíše Nazaretského jsme naplnili sklenice vodou.",0
276.txt,cs,"Po okraj jsme je naplnili vodou ze studny, jak nám řekl.",0
277.txt,cs,"Která studna má vodu, která chutná jako tohle dobré víno?",0
278.txt,cs,"Kdo by si nepřál studnu, která by také čerpala víno.",0
279.txt,cs,"Přinesli jsme vodu z té studny.",0
280.txt,cs,"Jsem si jistá, protože jsem po cestě něco vypila.",0
281.txt,cs,"Kde je ten Ježíš Nazaretský?",0
282.txt,cs,"Chci mu alespoň poděkovat.",0
283.txt,cs,"Myslím, že mezi hosty.",0
284.txt,cs,"Ale nevidím ho.",0
285.txt,cs,"Viděl někdo Ježíše Nazaretského?",0
286.txt,cs,"Chodil do Capernaum se svými přáteli.",0
287.txt,cs,"Vím to od jeho matky.",0
288.txt,cs,"Pojďme tančit. Na zdraví, pojďte!",0
289.txt,cs,"Paule, věř mi, lidi dneska pořád mluví o té svatbě.",0
290.txt,cs,"Bylo to poprvé, co ukázal své božství.",0
291.txt,cs,"Očividně dělal zázraky všude.",0
292.txt,cs,"A vždycky mluvil o Božím království.",0
293.txt,cs,"Vzpomínám si, jak říkal vdovci, která ztratila svého jediného syna. Neplač.",0
294.txt,cs,"Měl k ní empatii.",0
295.txt,cs,"Dotkl se chlapce na bier a řekl. Mladíku, vstávej!",0
296.txt,cs,"A tak to udělal.",0
297.txt,cs,"Jednou vzal šest chlebů a",0
298.txt,cs,"Pět.",0
299.txt,cs,"pět chlebů a tři ryby",0
300.txt,cs,"Dva.",0
301.txt,cs,"dvě ryby a pohled do nebe, poděkoval a zlomil je.",0
302.txt,cs,"I dal je učedlníkům, aby rozdávali lidu, všickni jedli a nasyceni byli, a učedlníci zvedli patnácte košů",0
303.txt,cs,"Dvanáct.",0
304.txt,cs,"Dvanáct košů rozbitých kousků, které zůstaly.",0
305.txt,cs,"Byly",0
306.txt,cs,"Pět tisíc mužů.",0
307.txt,cs,"Já vím, pět tisíc mužů.",0
308.txt,cs,"Vzpomínám si, jak mluvil na hoře u jezera.",0
309.txt,cs,"Byl jsem velmi mladý, ale pořád si toho pamatuju hodně",0
310.txt,cs,"Blahoslavení chudí v duchu, nebo jejich jest království nebeské.",0
311.txt,cs,"Blahoslavení, kteříž truchlí, nebo potěšeni budou.",0
312.txt,cs,"Blahoslavení pokorní, neboť zdědí zemi.",0
313.txt,cs,"Blahoslavení, kteříž hladoví a žízní po spravedlnosti, nebo nasyceni budou.",0
314.txt,cs,"Blahoslavení milosrdní, neboť jim bude dáno slitování.",0
315.txt,cs,"Požehnaná jsou čistá srdce, neboť uvidí Boha.",0
316.txt,cs,"Blahoslavení mírumilovní, nebo slouti budou synové Boží.",0
317.txt,cs,"Blahoslavení ti, kteříž jsou pronásledováni pro spravedlnost, nebo jejich jest království nebeské.",0
318.txt,cs,"Požehnaný jsi, když tě lidé urážejí, pronásledují tě, a lživě o tobě říkají všeliké zlo kvůli mně.",0
319.txt,cs,"Za mnou!",0
320.txt,cs,"Raduj se, protože velká je tvá odměna v nebi.",0
321.txt,cs,"Neboť pravím vám, že jestliže vaše spravedlnost nepřekoná to, co se stalo farizeům a učitelům Zákona, jistě nevstoupíte do království nebeského.",0
322.txt,cs,"Co od nás chceš?",0
323.txt,cs,"Pokračuj a káži. Království nebeské se přiblížilo, uzdravilo nemocné, vzkřísilo mrtvé, očistilo malomocné, vyhnalo démony.",0
324.txt,cs,"Volně jste obdrželi, volně dávat.",0
325.txt,cs,"Neberte si žádné zlato, stříbro ani měď do svých peněžních pásů.",0
326.txt,cs,"Žádná taška na cestu ani košile, sandály nebo personál, protože pracovník je hoden jeho podpory.",0
327.txt,cs,"Posílám tě jako ovce mezi vlky.",0
328.txt,cs,"Proto buďte chytří jako hadi a nevinní jako holubice.",0
329.txt,cs,"Zapamatoval jsem si všechny ty krásy dobře.",0
330.txt,cs,"Zavést je není tak snadné.",0
331.txt,cs,"Sledoval jsem ho.",0
332.txt,cs,"Mezitím to bylo několik tisíciletí.",0
333.txt,cs,"Myslíš desetiletí.",0
334.txt,cs,"Máš štěstí.",0
335.txt,cs,"V podstatě jsi ho doprovázela.",0
336.txt,cs,"No.",0
337.txt,cs,"Nebyl jsem s ním celou dobu.",0
338.txt,cs,"Když vyhnal obchodníky z chrámu, byl jsem ve městě s přáteli, provazem.",0
339.txt,cs,"Průzkumník byl rád, když jsme mu pomohli",0
340.txt,cs,"Ale pořád mám spoustu zajímavých vzpomínek na Ježíše.",0
341.txt,cs,"Například",0
342.txt,cs,"Kamkoliv se zastavil, vždycky bylo hodně lidí.",0
343.txt,cs,"Ve všech Judejích kázal a varoval, aby konvertoval.",0
344.txt,cs,"Stále více lidí ho považovalo za vyslaného Mesiáše.",0
345.txt,cs,"Byl vždycky sám?",0
346.txt,cs,"Ne, vybral si prosté rybáře, aby ho doprovázeli.",0
347.txt,cs,"James, John, Andrew a Peter, a později víc.",0
348.txt,cs,"Řekl Peterovi. Neboj se, odteď budeš lovit lidi.",0
349.txt,cs,"Okamžitě opustili sítě a šli za ním.",0
350.txt,cs,"Takže měl hodně učedníků a byl velmi populární.",0
351.txt,cs,"Dokonce položili Ježíšovi dlaně a přivítali ho v Jeruzalémě jako Spasitele Izraele.",0
352.txt,cs,"To opravdu zastrašilo Velkou radu.",0
353.txt,cs,"děti!",0
354.txt,cs,"Děti, nesrážejte ho.",0
355.txt,cs,"Thomasi!",0
356.txt,cs,"Přicházejíce ke mně dítka, nebraňte jim; nebo království Boží takové jest.",0
357.txt,cs,"Království Boží",0
358.txt,cs,"Amen, pravím vám, kdo nepřijme království Boží jako malé dítě, do něj nikdy nevstoupí.",0
359.txt,cs,"Je dovoleno, aby se muž rozvedl se svou ženou?",0
360.txt,cs,"Co ti Mojžíš přikázal?",0
361.txt,cs,"Mojžíš povolil muži napsat list o rozvodu a poslat ji pryč.",0
362.txt,cs,"Bylo to proto, že vaše srdce byla tvrdá, že vám Mojžíš napsal tento zákon.",0
363.txt,cs,"Ale na počátku stvoření je Bůh učinil mužskými a ženskými.",0
364.txt,cs,"Z tohoto důvodu muž opustí otce a matku a spojí se s manželkou, a oba se stanou jedním tělem, takže už nejsou dvěma, ale jedním tělem.",0
365.txt,cs,"Nechť tedy to, co Bůh spojil, nikdo nerozdělí.",0
366.txt,cs,"Ať se nikdo nerozdělí",0
367.txt,cs,"Ať se nikdo nerozdělí",0
368.txt,cs,"Poslouchej a pochop to.",0
369.txt,cs,"To, co jde někomu do pusy, ho neposkvrňuje, ale to, co vychází z jeho úst, to je to, co ho deformuje.",0
370.txt,cs,"Víte, že farizeové byli uraženi, když to slyšeli?",0
371.txt,cs,"Every plant that my heaven Otec nezasadil, bude vytažen kořeny.",0
372.txt,cs,"Nech je.",0
373.txt,cs,"Jsou to slepí průvodci.",0
374.txt,cs,"Pokud slepec povede slepého, oba spadnou do jámy.",0
375.txt,cs,"Hosanno!",0
376.txt,cs,"Hosanno!",0
377.txt,cs,"Požehnaný ten, kdo přichází ve jménu Pána, krále Izraele!",0
378.txt,cs,"Hosanno!",0
379.txt,cs,"Hosanno!",0
380.txt,cs,"Blahoslavený ten, kdo přichází ve jménu Páně.",0
381.txt,cs,"Hosanna synu Davidovu!",0
382.txt,cs,"Hosanna synu Davidovu!",0
383.txt,cs,"Hosanna synu Davidovu!",0
384.txt,cs,"Hosanna",0
385.txt,cs,"Nejvyšší kněz Kaifáš přichází!",0
386.txt,cs,"Sláva a požehnání veleknězi!",0
387.txt,cs,"Co se děje?",0
388.txt,cs,"Chválí Ježíše z Nazaretu.",0
389.txt,cs,"Ale on podněcuje proti vrchním kněžím na veřejnosti!",0
390.txt,cs,"Říkají, že je král!",0
391.txt,cs,"On přijímá následovníky kázáním o Božím království.",0
392.txt,cs,"nan",0
393.txt,cs,"Je to prorok!",0
394.txt,cs,"Tomu nevěřím!",0
395.txt,cs,"Je to pravděpodobně falešný prorok, který podněcuje proti hlavnímu zástupci!",0
396.txt,cs,"nan",0
397.txt,cs,"On je očekávaný Mesiáš.",0
398.txt,cs,"Ježíš Nazaretský!",0
399.txt,cs,"Vyučuje naše zákony a předpisy zvláštním způsobem.",0
400.txt,cs,"Jako by znal všechna písma naruby.",0
401.txt,cs,"Jeho projevy jsou nebezpečné, obyvatelé Jeruzaléma!",0
402.txt,cs,"Když ho necháme takhle pokračovat, všichni v něj uvěří, a pak přijdou Římané a vezmou nám náš chrám i náš národ.",0
403.txt,cs,"Vůbec nic nevíte, ani nechápete, že je pro vás výhodné, aby jeden člověk zemřel pro lid, než aby celý národ zahynul.",0
404.txt,cs,"Chvála tobě, Piláte, zástupče římského císaře!",0
405.txt,cs,"Kaifáši, děje se ve městě něco zvláštního, nebo proč je tu tolik lidí?",0
406.txt,cs,"Na Velikonoce je v Jeruzalémě vždy mnoho poutníků.",0
407.txt,cs,"Kaifáši, Kaifáši",0
408.txt,cs,"Víš, jak to myslím!",0
409.txt,cs,"Chci si jen promluvit s vaším veleknězem!",0
410.txt,cs,"Nikoho jsem sem nevolal.",0
411.txt,cs,"Vzdali hold bezvýznamnému kazateli..",0
412.txt,cs,"křičeli na Hosannu!",0
413.txt,cs,"Křičeli na Hosannu?",0
414.txt,cs,"Kaifáši, přeháníš.",0
415.txt,cs,"Římská říše vás chrání před bandity na severu, kočovnými kmeny na východě, mořskými obry na západě a lidmi požívajícími na jihu.",0
416.txt,cs,"Měl byste být vděčný za své bezpečí.",0
417.txt,cs,"Ve městě je mír.",0
418.txt,cs,"Nikdo",0
419.txt,cs,"Neposlušný lid bez rozkazu",0
420.txt,cs,"Nebyl jste ničí lid bez vedení, když jsem vás přijal.",0
421.txt,cs,"Piláte!",0
422.txt,cs,"Kaifáši, čí obraz je na denariu?",0
423.txt,cs,"Císařův.",0
424.txt,cs,"Pamatuješ si, co ti před pár dny řekl ten takzvaný bezvýznamný kazatel Ježíš Nazaretský? Vrať tedy Caesarovi to, co je Caesarovo, a Bohu, co je Boží.",0
425.txt,cs,"Znáte jeho jméno?",0
426.txt,cs,"Kaifáši, nezapomeň!",0
427.txt,cs,"Mí skauti jsou velmi spolehliví.",0
428.txt,cs,"Uvidíme se!",0
429.txt,cs,"A pak odešel",0
430.txt,cs,"Pilát, náš prokurátor.",0
431.txt,cs,"A Kaifáš?",0
432.txt,cs,"Kaifáši?",0
433.txt,cs,"Byl rozrušený.",0
434.txt,cs,"Pilát si z něj dělal srandu.",0
435.txt,cs,"Kaifáš tvrdil, že Ježíš špatně vysvětlil Písmo",0
436.txt,cs,"To není jeho právo. A lidé stejně ničemu nerozumí, křičel.",0
437.txt,cs,"Kaifáš si všiml, že se blíží něco nebezpečného.",0
438.txt,cs,"Ale nebezpečí bylo neviditelné, skryté, neznámé, cizí, zakryté.",0
439.txt,cs,"Strach zastíní úsudek a vzbudí nebezpečné síly.",0
440.txt,cs,"Co Kaifáš udělal?",0
441.txt,cs,"Svolal Velkou radu!",0
442.txt,cs,"Že si z nás Ježíš před lidmi dělá srandu.",0
443.txt,cs,"Jak může být obyčejný muž z Nazaretu tak vlivný?",0
444.txt,cs,"Ten, který nedodržuje zákony proroků.",0
445.txt,cs,"On, který podněcuje proti našim bohům?",0
446.txt,cs,"Dokonce dělá i zvláštní znamení.",0
447.txt,cs,"Chceme s ním vést dlouhý rozhovor?",0
448.txt,cs,"Ne, musíme zasáhnout.",0
449.txt,cs,"Buď my a Mojžíšova závěť, nebo Ježíš Nazaretský.",0
450.txt,cs,"Protože jako Velká rada máme jistou zodpovědnost.",0
451.txt,cs,"Nastražíme past.",0
452.txt,cs,"Ano, past, která ho zasáhne a zničí.",0
453.txt,cs,"Každý den chodí do chrámu.",0
454.txt,cs,"Tam ho můžeme chytit.",0
455.txt,cs,"Samozřejmě!",0
456.txt,cs,"Ano.",0
457.txt,cs,"To by nebylo moudré!",0
458.txt,cs,"Zvláště teď na Velikonoce, když mnoho poutníků navštíví město.",0
459.txt,cs,"Nemůžeme ho jen tak chytit.",0
460.txt,cs,"Takže, chceš počkat, až Pesach skončí?",0
461.txt,cs,"Nečekali.",0
462.txt,cs,"Vybrali si svého zrádce.",0
463.txt,cs,"Vlastně je našel zrádce.",0
464.txt,cs,"Jidáši!",0
465.txt,cs,"Jidáš Iškariot, učedník a Ježíšův přítel.",0
466.txt,cs,"Chtěl ho chránit před horším, ale nakonec udělal přesný opak.",0
467.txt,cs,"Chtěl ho zajmout, ale ne svou smrt.",0
468.txt,cs,"Chtěl živého Ježíše mezi živými, ne mrtvého Ježíše uloženého do hrobu.",0
469.txt,cs,"Ale jak jinak by mohl vstát z hrobu a zachránit nás všechny?",0
470.txt,cs,"Rozsudek smrti byl nezbytný.",0
471.txt,cs,"Ester!",0
472.txt,cs,"Ester!",0
473.txt,cs,"Sáro?",0
474.txt,cs,"Ester?",0
475.txt,cs,"Saro.",0
476.txt,cs,"Kolik jich tu dnes je?",0
477.txt,cs,"Dvanáct a Ježíš Nazaretský, jejich vůdce.",0
478.txt,cs,"Znáte ho osobně?",0
479.txt,cs,"Ne, ale hodně se o něm mluví.",0
480.txt,cs,"Nikdy jsem ho neviděl osobně.",0
481.txt,cs,"Copak nevíš, jak se chová?",0
482.txt,cs,"Ano!",0
483.txt,cs,"a že nemocné léčí?",0
484.txt,cs,"Ano!",0
485.txt,cs,"Jak učí naše lidi příklady",0
486.txt,cs,"Ano",0
487.txt,cs,"a povzbuzuje nás k dobru?",0
488.txt,cs,"Ano!",0
489.txt,cs,"Torches?",0
490.txt,cs,"Torches!",0
